How many seconds are in a minute?,60,,,,,
How many seconds are in an hour?,3600,,,,,
How many seconds are in a quarter of an hour?,900,,,,,
How many seconds are in half an hour?,1800,,,,,
How many seconds are in three quarters of an hour?,2700,,,,,
How many minutes are in an hour?,60,,,,,
How many minutes are in two hours?,120,,,,,
How many minutes are in one and a quarter hours?,75,,,,,
How many minutes are in one and a half hours?,90,,,,,
How many minutes are in one and three quarters of an hour?,105,,,,,
How many minutes are in a quarter of an hour?,15,,,,,
How many minutes are in half an hour?,30,,,,,
How many seconds are in half a minute?,30,,,,,
How many seconds are in one and a half minutes?,90,,,,,
How many minutes are in three quarters of an hour?,45,,,,,
How many hours are in a day?,24,,,,,
How many hours are in half a day?,12,,,,,
How many hours are in two days?,48,,,,,
How many hours are in three days?,72,,,,,
How many hours are in a week?,168,,,,,
How many hours are in four days?,96,,,,,
